lat,long
-119.4798795,49.86098144
-119.4802967,49.86098271
-119.4807139,49.86098398
-119.4811312,49.86098516
-119.4815484,49.86098631
-119.4819656,49.86098746
-119.4823829,49.86098861
-119.4828001,49.86098976
-119.4832173,49.8609909
-119.4836346,49.86099234
-119.4840518,49.86099542
-119.484469,49.86099756
-119.4848862,49.86099911
-119.4853035,49.86100067
-119.4856821,49.86110128
-119.4860508,49.86122754
-119.4864195,49.8613538
-119.4867879,49.86148046
-119.4871551,49.86160859
-119.4875222,49.86173673
-119.4878894,49.86186486
-119.4882577,49.86199104
-119.4886616,49.86204094
-119.4890771,49.8620233
-119.4894942,49.86201561
-119.4899113,49.86200872
-119.4903285,49.86200267
-119.4907456,49.86199662
-119.4911627,49.86199056
-119.4912291,49.86221627
-119.491229,49.86248599
-119.4912288,49.86275572
-119.4912286,49.86302544
-119.4912284,49.86329516
-119.4912282,49.86356488
-119.491228,49.8638346
-119.4912279,49.86410432
-119.4912278,49.86437405
-119.4912277,49.86464377
-119.4912275,49.86491349
-119.4912274,49.86518321
-119.4912272,49.86545293
-119.4912275,49.86572265
-119.4912277,49.86599238
-119.4912328,49.86626207
-119.4912389,49.86653177
-119.4912416,49.86680147
-119.4912416,49.8670712
-119.4912404,49.8673409
-119.4912289,49.86761049
-119.4912283,49.86788022
-119.4912277,49.86814994
-119.4912274,49.86841966
-119.4912275,49.86868938
-119.4912275,49.8689591
-119.4912315,49.86922881
-119.4912371,49.8694985
-119.4912427,49.8697682
-119.4912469,49.8700379
-119.4912443,49.87030762
-119.4912417,49.87057733
-119.4912391,49.87084705
-119.4912413,49.87111676
-119.4912451,49.87138647
-119.491249,49.87165618
-119.4912455,49.87192587
-119.4912379,49.87219555
-119.4912303,49.87246522
-119.4912226,49.8727349
-119.4912226,49.8730046
-119.4912251,49.87327432
-119.4912276,49.87354404
-119.4912289,49.87381376
-119.4912299,49.87408348
-119.4912308,49.8743532
-119.4912326,49.87462292
-119.4912355,49.87489263
-119.4912384,49.87516235
-119.4912412,49.87543206
-119.4912414,49.87570178
-119.4912416,49.8759715
-119.4912418,49.87624122
-119.4909429,49.87631761
-119.4905255,49.87631749
-119.4901081,49.87631736
-119.4896908,49.87631724
-119.4892734,49.87631712
-119.488856,49.87631699
-119.4884387,49.87631686
-119.4880213,49.87631649
-119.4876039,49.87631587
-119.4871866,49.87631525
-119.4867692,49.87631463
-119.4863518,49.876314
-119.4859344,49.87631338
-119.4855171,49.87631275
-119.4850997,49.87631213
-119.4846823,49.8763115
-119.484265,49.87631087
-119.4838476,49.87631023
-119.4834302,49.8763096
-119.4830129,49.87630897
-119.4825955,49.87630749
-119.4821782,49.87630493
-119.4817621,49.8763263
-119.4813461,49.8763481
-119.4809337,49.87638579
-119.4805254,49.87644176
-119.4801171,49.87649772
-119.4797089,49.87655368
-119.4793006,49.87660964
-119.4788887,49.8766518
-119.4784746,49.87668591
-119.4780606,49.87672002
-119.4776466,49.87675413
-119.4772326,49.87678823
-119.4768164,49.87680713
-119.4763995,49.87682056
-119.4759827,49.876834
-119.4755658,49.87684743
-119.475149,49.87686086
-119.4747321,49.87687429
-119.4743153,49.87688772
-119.4738982,49.87689765
-119.4734811,49.87690722
-119.4730639,49.87691679
-119.4726468,49.87692635
-119.4722297,49.87693591
-119.4718126,49.87694547
-119.4713954,49.87695221
-119.470978,49.87695392
-119.4705607,49.87695564
-119.4701433,49.87695735
-119.4697259,49.87695905
-119.4693086,49.87696076
-119.4688912,49.87696247
-119.4684738,49.87696152
-119.4680565,49.87695739
-119.4676392,49.87695326
-119.4672219,49.87694912
-119.4668045,49.87694498
-119.4663935,49.8769072
-119.4659868,49.87684664
-119.4655752,49.87680917
-119.4651583,49.87679695
-119.464741,49.87679287
-119.4643236,49.87679225
-119.4639063,49.87679162
-119.4634889,49.876791
-119.4630715,49.87679037
-119.4626541,49.87678974
-119.4622368,49.87678911
-119.4618194,49.87678847
-119.461402,49.87678784
-119.4609846,49.87678754
-119.4605673,49.87678936
-119.4601499,49.87679117
-119.4597325,49.87679298
-119.4593152,49.87679479
-119.4588978,49.87679659
-119.4584804,49.8767984
-119.4580678,49.87683191
-119.4576566,49.87687836
-119.4572455,49.87692481
-119.4568344,49.87697126
-119.4564232,49.87701771
-119.4560121,49.87706415
-119.4556009,49.8771106
-119.4551898,49.87715704
-119.4547786,49.87720348
-119.4543649,49.8772295
-119.4539475,49.87722734
-119.4535301,49.87722519
