x,y
-119.5106559,49.87957717
-119.510589,49.87958935
-119.510522,49.87960153
-119.510455,49.87961371
-119.5103881,49.87962589
-119.5103211,49.87963807
-119.5102541,49.87965025
-119.5101872,49.87966243
-119.5101202,49.87967461
-119.5100533,49.87968679
-119.5099863,49.87969897
-119.5099193,49.87971116
-119.5098524,49.87972333
-119.5097854,49.87973552
-119.5097184,49.8797477
-119.5096515,49.8797599
-119.5095845,49.8797721
-119.5095176,49.8797843
-119.5094506,49.8797965
-119.5093837,49.8798087
-119.5093167,49.8798209
-119.5092498,49.8798331
-119.5091828,49.87984531
-119.5091159,49.87985751
-119.5090489,49.87986971
-119.5089819,49.87988191
-119.508915,49.87989411
-119.508848,49.87990631
-119.5087811,49.87991851
-119.5087141,49.87993071
-119.5086472,49.87994292
-119.5085802,49.87995512
-119.5085133,49.87996732
-119.5084463,49.87997952
-119.5083793,49.87999172
-119.5083124,49.88000392
-119.5082454,49.88001612
-119.5081785,49.88002832
-119.5081115,49.88004052
-119.5080446,49.88005272
-119.5079776,49.88006492
-119.5079107,49.88007712
-119.5078437,49.88008932
-119.5077768,49.88010152
-119.5077098,49.88011372
-119.5076428,49.88012592
-119.5075759,49.88013812
-119.5075089,49.88015032
-119.507442,49.88016252
-119.507375,49.88017472
-119.5073081,49.88018693
-119.5072411,49.88019913
-119.5071742,49.88021133
-119.5071072,49.88022352
-119.5070402,49.88023572
-119.5069733,49.88024793
-119.5069063,49.88026013
-119.5068394,49.88027232
-119.5067724,49.88028452
-119.5067055,49.88029672
-119.5066385,49.88030893
-119.5065716,49.88032112
-119.5065046,49.88033332
-119.5064376,49.88034552
-119.5063707,49.88035772
-119.5063037,49.88036992
-119.5062368,49.88038212
-119.5061698,49.88039432
-119.5061029,49.88040652
-119.5060359,49.88041872
-119.5059689,49.88043092
-119.505902,49.88044312
-119.505835,49.88045532
-119.5057681,49.88046752
-119.5057011,49.88047972
-119.5056342,49.88049192
-119.5055672,49.88050412
-119.5055003,49.88051631
-119.5054333,49.88052851
-119.5053663,49.88054071
-119.5052994,49.88055291
-119.5052324,49.88056511
-119.5051655,49.88057731
-119.5050985,49.88058951
-119.5050316,49.88060171
-119.5049646,49.8806139
-119.5048976,49.8806261
-119.5048307,49.8806383
-119.5047637,49.8806505
-119.5046968,49.8806627
-119.5046298,49.8806749
-119.5045629,49.8806871
-119.5044959,49.8806993
-119.5044289,49.88071149
-119.504362,49.88072369
-119.504295,49.88073589
-119.5042281,49.88074809
-119.5041611,49.88076028
-119.5040945,49.88077334
-119.504028,49.8807865
-119.5039615,49.88079966
-119.503895,49.88081282
-119.5038285,49.88082598
-119.5037619,49.88083913
-119.5036954,49.88085229
-119.5036289,49.88086545
-119.5035624,49.88087861
-119.5034959,49.88089177
-119.5034293,49.88090493
-119.5033628,49.88091809
-119.5032963,49.88093125
-119.5032298,49.88094441
-119.5031633,49.88095757
-119.5030967,49.88097073
-119.5030302,49.88098389
-119.5029637,49.88099704
-119.5028972,49.8810102
-119.5028307,49.88102336
-119.5027641,49.88103652
-119.5026976,49.88104968
-119.5026311,49.88106284
-119.5025646,49.881076
-119.5024981,49.88108916
-119.5024315,49.88110231
-119.5023718,49.88112488
-119.5023135,49.88114942
-119.5022552,49.88117395
-119.5021969,49.88119849
-119.5021387,49.88122302
-119.5020804,49.88124756
-119.5020221,49.88127209
-119.5019723,49.88130313
-119.5019251,49.88133615
-119.5018779,49.88136917
-119.5018307,49.8814022
-119.5017835,49.88143522
-119.5017363,49.88146825
-119.5016934,49.88150325
-119.5016612,49.8815431
-119.5016291,49.88158296
-119.5015969,49.88162282
-119.5015647,49.88166267
-119.5015325,49.88170253
-119.5015004,49.88174239
-119.5014682,49.88178225
-119.501436,49.8818221
-119.5014038,49.88186196
-119.5013844,49.8819049
-119.5013683,49.88194862
-119.5013521,49.88199234
-119.5013359,49.88203606
-119.5013197,49.88207978
-119.5013035,49.8821235
-119.5012873,49.88216722
-119.5012712,49.88221094
-119.501255,49.88225466
-119.5012388,49.88229838
-119.5012226,49.8823421
-119.5012064,49.88238583
-119.5011903,49.88242955
-119.5011741,49.88247327
-119.5011579,49.88251699
-119.5011417,49.88256071
-119.5011255,49.88260443
-119.5011082,49.88264792
-119.5010826,49.88268972
-119.501057,49.88273152
-119.5010314,49.88277332
-119.5010058,49.88281512
-119.5009802,49.88285692
-119.5009546,49.88289872
-119.500929,49.88294052
-119.5009034,49.88298232
-119.500867,49.88302017
-119.5008248,49.88305592
-119.5007827,49.88309167
-119.5007405,49.88312742
-119.5006983,49.88316317
-119.5006561,49.88319893
-119.5006116,49.88323323
-119.5005583,49.8832621
-119.500505,49.88329098
-119.5004517,49.88331986
-119.5003983,49.88334873
-119.500345,49.88337761
-119.5002917,49.88340648
-119.5002384,49.88343536
-119.5001762,49.88345485
-119.5001121,49.8834724
-119.5000481,49.88348995
-119.499984,49.8835075
-119.49992,49.88352505
-119.4998559,49.8835426
-119.4997864,49.88354378
-119.4997168,49.88354488
-119.4996473,49.88354599
-119.4995777,49.88354709
-119.4995082,49.88354819
-119.4994386,49.88354929
-119.4994239,49.88358522
-119.4994234,49.88363017
-119.499423,49.88367512
-119.4994232,49.88372007
-119.4994235,49.88376503
-119.4994237,49.88380998
-119.4994239,49.88385493
-119.4994242,49.88389989
-119.4994244,49.88394484
-119.4994246,49.88398979
-119.4994248,49.88403475
-119.4994251,49.8840797
-119.4994253,49.88412465
-119.4994255,49.88416961
-119.4994253,49.88421456
-119.4994249,49.88425951
-119.4994245,49.88430446
-119.4994242,49.88434942
-119.4994238,49.88439437
-119.4994234,49.88443932
-119.4994005,49.88446982
-119.4993309,49.88447049
-119.4992613,49.88447115
-119.4991918,49.88447182
-119.4991222,49.88447249
-119.4990526,49.88447316
-119.4989831,49.88447383
-119.4989135,49.88447449
-119.4988439,49.88447516
-119.4987744,49.88447583
-119.4987048,49.8844765
-119.4986352,49.88447716
-119.4985657,49.88447783
-119.4984961,49.8844785
-119.4984265,49.88447917
-119.498357,49.88447983
-119.4982874,49.8844805
-119.4982178,49.88448117
-119.4981483,49.88448183
-119.4980787,49.8844825
-119.4980091,49.88448317
-119.4979396,49.88448384
-119.49787,49.8844845
-119.4978005,49.88448517
-119.4977309,49.88448584
-119.4976613,49.8844865
-119.4975918,49.88448717
-119.4975222,49.88448784
-119.4974526,49.8844885
-119.4973831,49.88448917
-119.4973135,49.88448984
-119.4972439,49.8844905
-119.4971744,49.88449117
-119.4971048,49.88449184
-119.4970352,49.8844925
-119.4969657,49.88449317
-119.4968961,49.88449384
-119.4968265,49.8844945
-119.496757,49.88449517
-119.4966874,49.88449584
-119.4966178,49.8844965
-119.4965483,49.8844966
-119.4964787,49.88449652
-119.4964091,49.88449644
-119.4963396,49.88449636
-119.49627,49.88449628
-119.4962004,49.8844962
-119.4961308,49.88449612
-119.4960613,49.88449604
-119.4959917,49.88449596
-119.4959221,49.88449588
-119.4958525,49.8844958
-119.495783,49.88449572
-119.4957134,49.88449564
-119.4956438,49.88449556
-119.4955743,49.88449548
-119.4955047,49.8844954
-119.4954351,49.88449532
-119.4953655,49.88449524
-119.495296,49.88449516
-119.4952264,49.88449508
-119.4951568,49.884495
-119.4950872,49.88449492
-119.4950394,49.88450896
-119.4950392,49.88455392
-119.4950389,49.88459887
-119.4950387,49.88464382
-119.4950384,49.88468878
-119.4950382,49.88473373
-119.4950379,49.88477868
-119.4950377,49.88482364
-119.4950374,49.88486859
-119.4950372,49.88491354
